fiscalyear,indicator,miles
2016,protected,16.0
2016,unprotected,38.0
2017,protected,16.0
2017,unprotected,66.9
2018,protected,23.9
2018,unprotected,46.50000000000001
2019,protected,20.2
2019,unprotected,47.39999999999999
2020,protected,14.3
2020,unprotected,68.2
2021,protected,29.2
2021,unprotected,36.0
2022,protected,33.2
2022,unprotected,29.199999999999996
2023,protected,26.0
2023,unprotected,21.4
2024,protected,33.0
2024,unprotected,30.799999999999997
2025,protected,28.0
2025,unprotected,24.299999999999997
