fy,borough,diversion_rate
2017,Bronx,0.13145845070670384
2017,Brooklyn,0.16211161283082523
2017,Manhattan,0.20539152261592503
2017,Queens,0.19561718736196895
2017,Staten Island,0.2031581957965223
2018,Bronx,0.14055801992014247
2018,Brooklyn,0.16817115560265367
2018,Manhattan,0.20598682442416355
2018,Queens,0.2004152084725278
2018,Staten Island,0.20551788486664524
2019,Bronx,0.14475804574756593
2019,Brooklyn,0.16715434963389508
2019,Manhattan,0.21046434374659553
2019,Queens,0.1996706106957674
2019,Staten Island,0.20880456456228894
2020,Bronx,0.15046189781023767
2020,Brooklyn,0.17070899963545988
2020,Manhattan,0.21457869581812275
2020,Queens,0.20375694076107773
2020,Staten Island,0.2053941082159581
2021,Bronx,0.1494101488463721
2021,Brooklyn,0.16406833952203742
2021,Manhattan,0.20717671024275727
2021,Queens,0.1899106503839397
2021,Staten Island,0.1925076822338435
2022,Bronx,0.14198002080132796
2022,Brooklyn,0.1582505058864287
2022,Manhattan,0.20254121801562822
2022,Queens,0.18368739921205984
2022,Staten Island,0.18379851850106316
2023,Bronx,0.14062569783586745
2023,Brooklyn,0.15837626324727247
2023,Manhattan,0.1969454754496236
2023,Queens,0.19410351241148724
2023,Staten Island,0.18575290410054734
2024,Bronx,0.14094445815839873
2024,Brooklyn,0.1632878721339127
2024,Manhattan,0.19591838900843797
2024,Queens,0.19972779122691536
2024,Staten Island,0.18172582412643015
2025,Bronx,0.14523289194285077
2025,Brooklyn,0.17071157436583642
2025,Manhattan,0.2004152708603697
2025,Queens,0.21334287445335368
2025,Staten Island,0.21830759159943774
