category_label,source_label,total_2005,total_2024,pct_change
Commercial and Institutional,#2 fuel oil,835549.5,498488.72,-0.4034001336844794
Commercial and Institutional,#4 fuel oil,148795.95,41923.1,-0.7182510679894177
Commercial and Institutional,#6 fuel oil,283704.02,0.0,-1.0
Commercial and Institutional,Electricity,12932594.64,7828276.7,-0.3946863009386026
Commercial and Institutional,Natural gas,3004274.01,3267990.34,0.0877803852518765
Commercial and Institutional,Steam,1239310.47,317926.56,-0.743464960801953
Manufacturing and Construction,#2 fuel oil,192628.87,114922.36,-0.4034001237716859
Manufacturing and Construction,#4 fuel oil,32058.62,9032.48,-0.7182511287135876
Manufacturing and Construction,#6 fuel oil,21907.08,0.0,-1.0
Manufacturing and Construction,Electricity,4329536.64,2798103.95,-0.3537174569332204
Manufacturing and Construction,Natural gas,901282.2,712555.76,-0.2093977224891382
Manufacturing and Construction,Steam,371793.14,95377.97,-0.7434649547326236
Residential,#2 fuel oil,1474501.65,879687.48,-0.403400138616325
Residential,#4 fuel oil,833690.15,234891.33,-0.7182510432682933
Residential,#6 fuel oil,2311988.04,0.0,-1.0
Residential,Electricity,6986699.7,5059720.0,-0.2758068591383711
Residential,Natural gas,8983129.56,10813218.05,0.2037250467976106
Residential,Steam,332184.37,188213.77,-0.4334057017794064
