category_label,total_2005,total_2023,pct_change
Heavy duty trucks,1362756.54,1139503.4,-0.1638246696655001
Medium duty trucks,385562.84,980466.86,1.5429495747048652
Passenger cars,11205511.69,8083885.69,-0.2785795139356103
Buses,687062.71,506487.62,-0.2628218463493674
School buses,49463.29,100742.64,1.0367153094749662
Marine Navigation,50737.18,98813.69,0.9475597579526492
Refuse trucks,61694.52,72832.41,0.180532890117307
For hire vehicles,1280453.84,854893.31,-0.3323513247459197
Aviation,2068.58,2081.95,0.0064633710081311
Railways,1122335.26,754167.37,-0.3280373548987492
